GADM_ID;GADM_ISO;GADM_NAME;DEGURBA_L1;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030
54;CUB;Cuba;UCL;3815722.801;3843890.994;3867826.274;3945839.056;4020270;4096084.678;4147767.956;4073718.162;3989603.566;3999888.966;3949257.362;4009553.382
54;CUB;Cuba;RUR;1291340.916;1455409.356;1589700.71;1772000.329;1809446.901;1822913.772;1834974.967;1866961.09;1900461.707;1997708.906;2003733.542;2004076.866
55;CUW;Curaçao;UC;0;0;0;0;0;0;0;86617.57803;116569.9648;152769.2222;162058.5603;166201.8355
55;CUW;Curaçao;UCL;129661.9896;128314.2053;129701.6164;133915.0461;130676.9202;122835.2146;131540.0651;57904.71644;36474.35546;27202.12666;20784.55853;20549.97576
55;CUW;Curaçao;RUR;25489.01031;28536.79477;26937.38381;21530.95398;19915.07987;18588.78532;15722.93486;14857.70562;16527.67966;9316.65122;10993.88106;11077.1888
56;CXR;Christmas Island;UC;0;0;0;0;0;0;0;0;0;0;0;0
56;CXR;Christmas Island;UCL;0;0;0;0;0;0;0;0;0;0;0;0
56;CXR;Christmas Island;RUR;463.4679003;544.818261;675.2751994;841.4185405;1000.959958;1328.476104;1654.618971;2085.72529;2527.516634;3049.291971;3582.298842;4150.153729
57;CYM;Cayman Islands;UC;0;0;0;0;0;0;0;0;0;0;0;0
57;CYM;Cayman Islands;UCL;0;5467.808674;8403.484927;11526.22876;19654.53377;32414.76888;40046.62844;47845.92747;55179.08645;62111.92537;65692.49767;68629.09429
57;CYM;Cayman Islands;RUR;13791.00001;11632.19132;12909.51508;14500.77123;13147.46623;7243.231104;6680.371581;6228.072538;5731.913523;5199.074602;4752.502339;4235.905716
